Date,JDfrom0,Iprec,RH,AirT,Swglob,CloudTrans
15/10/2010 00:00,734426,0,68.8,6.24,0,0.778127
15/10/2010 01:00,734426.041667,0,68.95,5.73,0,0.746431
15/10/2010 02:00,734426.083333,0,72.25,5.12,0,0.714735
15/10/2010 03:00,734426.125,0,69.75,5.21,0,0.683039
15/10/2010 04:00,734426.166667,0,68.57,5.02,0,0.651343
15/10/2010 05:00,734426.208333,0,71.58,4.39,0,0.619647
15/10/2010 06:00,734426.25,0,72.34,4.16,0,0.58795
15/10/2010 07:00,734426.291667,0,72.26,3.78,3.26,0.556254
15/10/2010 08:00,734426.333333,0,71.98,3.81,15.63,0.524558
15/10/2010 09:00,734426.375,0,60.05,5.69,181.15,0.524558
15/10/2010 10:00,734426.416667,0,48.12,9.28,457.9,0.524558
15/10/2010 11:00,734426.458333,0,47.83,11.44,575.2,1
15/10/2010 12:00,734426.5,0,43.21,12.21,639.63,1
15/10/2010 13:00,734426.541667,0,41.36,13.41,646.48,1
15/10/2010 14:00,734426.583333,0,38.12,14.1,589.35,1
15/10/2010 15:00,734426.625,0,44.49,14.22,475.85,1
15/10/2010 16:00,734426.666667,0,43.32,13.91,309.2,1
15/10/2010 17:00,734426.708333,0,61.55,11.22,52.14,1
15/10/2010 18:00,734426.75,0,74.23,7.78,5.72,0.963338
15/10/2010 19:00,734426.791667,0,75.45,6.57,0,0.926676
15/10/2010 20:00,734426.833333,0,71.66,6.65,0,0.890015
15/10/2010 21:00,734426.875,0,74.83,5.73,0,0.853353
15/10/2010 22:00,734426.916667,0,73.77,5.68,0,0.816691
15/10/2010 23:00,734426.958333,0,74.09,5.37,0,0.780029
16/10/2010 00:00,734427,0,76.73,5,0,0.743368
16/10/2010 01:00,734427.041667,0,79.13,4.3,0,0.706706
16/10/2010 02:00,734427.083333,0,79.02,4.05,0,0.670044
16/10/2010 03:00,734427.125,0,80.13,3.76,0,0.633382
16/10/2010 04:00,734427.166667,0,77.35,3.72,0,0.596721
16/10/2010 05:00,734427.208333,0,78.53,3.5,0,0.560059
16/10/2010 06:00,734427.25,0,79.95,3.48,0,0.523397
16/10/2010 07:00,734427.291667,0,80.64,3.41,7.45,0.486735
16/10/2010 08:00,734427.333333,0,83.25,3.96,46.91,0.450074
16/10/2010 09:00,734427.375,0,70.26,5.56,119.93,0.450074
16/10/2010 10:00,734427.416667,0,61.3,7.66,356.08,0.450074
16/10/2010 11:00,734427.458333,0,59.64,9.38,434.03,0.553513
16/10/2010 12:00,734427.5,0,61.74,9.04,259.45,0.553513
16/10/2010 13:00,734427.541667,0,67.14,8.55,230.88,0.553513
16/10/2010 14:00,734427.583333,0,74.43,8.36,143.33,0.298156
16/10/2010 15:00,734427.625,0,75.99,8.17,106.38,0.298156
16/10/2010 16:00,734427.666667,0,81.47,7.74,58.67,0.298156
16/10/2010 17:00,734427.708333,0,86.45,7.29,23.18,0.298156
16/10/2010 18:00,734427.75,0,85.3,6.62,2.15,0.296106
16/10/2010 19:00,734427.791667,0,80.06,6.44,0,0.294056
16/10/2010 20:00,734427.833333,0,77.54,6.57,0,0.292006
16/10/2010 21:00,734427.875,0,88.95,5.72,0,0.289956
16/10/2010 22:00,734427.916667,0,95.53,5.16,0,0.287906
16/10/2010 23:00,734427.958333,0,98.48,5.02,0,0.285856
17/10/2010 00:00,734428,0,98.98,4.96,0,0.283806
17/10/2010 01:00,734428.041667,0,99.08,4.79,0,0.281756
17/10/2010 02:00,734428.083333,0,95.88,4.74,0,0.279706
17/10/2010 03:00,734428.125,0,98.13,4.4,0,0.277656
17/10/2010 04:00,734428.166667,0,98.98,4.23,0,0.275606
17/10/2010 05:00,734428.208333,0.1,99.68,4.04,0,0.273556
