Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,140.000000 ,530.000000 ,1780.000000  
15/10/2011 12:00,734791.500000,0.000000,0,0,2,5.000000,5.000000,5.000000 
15/10/2011 13:00,734791.541667,0.041667,1,1,2,6.055066,5.010422,5.000008 
15/10/2011 14:00,734791.583333,0.083333,1,1,2,6.589995,5.025991,5.000029 
15/10/2011 15:00,734791.625000,0.125000,1,1,2,6.753435,5.042969,5.000063 
15/10/2011 16:00,734791.666667,0.166667,1,1,2,7.554395,5.067636,5.000116 
15/10/2011 17:00,734791.708333,0.208333,1,1,2,8.494935,5.101269,5.000196 
15/10/2011 18:00,734791.750000,0.250000,1,1,2,9.228088,5.141703,5.000308 
15/10/2011 19:00,734791.791667,0.291667,1,1,2,9.640387,5.185677,5.000454 
15/10/2011 20:00,734791.833333,0.333333,1,1,2,10.138883,5.233998,5.000639 
15/10/2011 21:00,734791.875000,0.375000,1,1,2,10.272836,5.283007,5.000862 
15/10/2011 22:00,734791.916667,0.416667,1,1,2,10.244175,5.331089,5.001123 
15/10/2011 23:00,734791.958333,0.458333,1,1,2,10.331231,5.379399,5.001422 
16/10/2011 00:00,734792.000000,0.500000,1,1,2,10.357499,5.427335,5.001759 
16/10/2011 01:00,734792.041667,0.541667,1,1,2,10.297797,5.474051,5.002132 
16/10/2011 02:00,734792.083333,0.583333,1,1,2,10.269942,5.519880,5.002541 
16/10/2011 03:00,734792.125000,0.625000,1,1,2,10.249483,5.564904,5.002986 
16/10/2011 04:00,734792.166667,0.666667,1,1,2,10.194202,5.608792,5.003465 
16/10/2011 05:00,734792.208333,0.708333,1,1,2,10.059324,5.650773,5.003976 
16/10/2011 06:00,734792.250000,0.750000,1,1,2,9.967900,5.691299,5.004520 
16/10/2011 07:00,734792.291667,0.791667,1,1,2,10.094552,5.732546,5.005095 
16/10/2011 08:00,734792.333333,0.833333,1,1,2,10.352981,5.775804,5.005704 
16/10/2011 09:00,734792.375000,0.875000,1,1,2,10.544084,5.820383,5.006348 
16/10/2011 10:00,734792.416667,0.916667,1,1,2,10.272225,5.861693,5.007024 
16/10/2011 11:00,734792.458333,0.958333,1,1,2,10.186431,5.901614,5.007731 
16/10/2011 12:00,734792.500000,1.000000,1,1,2,9.846750,5.937658,5.008467 
16/10/2011 13:00,734792.541667,1.041667,1,1,2,9.510868,5.969911,5.009226 
16/10/2011 14:00,734792.583333,1.083333,1,1,2,9.547971,6.002110,5.010011 
