Date,JDfrom0,Iprec
15/10/2010 00:00,734426,0
16/10/2010 00:00,734427,0
17/10/2010 00:00,734428,0.37
18/10/2010 00:00,734429,0.02
19/10/2010 00:00,734430,0
20/10/2010 00:00,734431,0.04
21/10/2010 00:00,734432,0.01
22/10/2010 00:00,734433,0
23/10/2010 00:00,734434,0
24/10/2010 00:00,734435,0
25/10/2010 00:00,734436,1.52
26/10/2010 00:00,734437,0.47
27/10/2010 00:00,734438,0
28/10/2010 00:00,734439,0
29/10/2010 00:00,734440,0
30/10/2010 00:00,734441,0
31/10/2010 00:00,734442,0.19
01/11/2010 00:00,734443,1.22
02/11/2010 00:00,734444,0.44
03/11/2010 00:00,734445,0.56
04/11/2010 00:00,734446,0
05/11/2010 00:00,734447,0
06/11/2010 00:00,734448,0
07/11/2010 00:00,734449,0
08/11/2010 00:00,734450,1.5
09/11/2010 00:00,734451,0.62
10/11/2010 00:00,734452,0
11/11/2010 00:00,734453,0
12/11/2010 00:00,734454,0.11
13/11/2010 00:00,734455,0.02
14/11/2010 00:00,734456,0
15/11/2010 00:00,734457,0.01
16/11/2010 00:00,734458,1.47
17/11/2010 00:00,734459,1.3
18/11/2010 00:00,734460,0.19
19/11/2010 00:00,734461,0.66
20/11/2010 00:00,734462,0.03
21/11/2010 00:00,734463,0.09
22/11/2010 00:00,734464,1.66
23/11/2010 00:00,734465,0.02
24/11/2010 00:00,734466,0
25/11/2010 00:00,734467,0
26/11/2010 00:00,734468,0.09
27/11/2010 00:00,734469,0.06
28/11/2010 00:00,734470,0.04
29/11/2010 00:00,734471,0.18
30/11/2010 00:00,734472,0
01/12/2010 00:00,734473,0.25
02/12/2010 00:00,734474,0.45
03/12/2010 00:00,734475,0.11
04/12/2010 00:00,734476,0.03
05/12/2010 00:00,734477,0
06/12/2010 00:00,734478,0.08
07/12/2010 00:00,734479,0.14
08/12/2010 00:00,734480,0
09/12/2010 00:00,734481,0.06
10/12/2010 00:00,734482,0.04
11/12/2010 00:00,734483,0.31
12/12/2010 00:00,734484,0.13
13/12/2010 00:00,734485,0
14/12/2010 00:00,734486,0
15/12/2010 00:00,734487,0
16/12/2010 00:00,734488,0
17/12/2010 00:00,734489,0
18/12/2010 00:00,734490,0
19/12/2010 00:00,734491,0
20/12/2010 00:00,734492,0
21/12/2010 00:00,734493,0
22/12/2010 00:00,734494,0.07
23/12/2010 00:00,734495,0.51
24/12/2010 00:00,734496,2.15
25/12/2010 00:00,734497,0.51
26/12/2010 00:00,734498,0.05
27/12/2010 00:00,734499,0
28/12/2010 00:00,734500,0
29/12/2010 00:00,734501,0.01
30/12/2010 00:00,734502,0
31/12/2010 00:00,734503,0
01/01/2011 00:00,734504,0
02/01/2011 00:00,734505,0
03/01/2011 00:00,734506,0
04/01/2011 00:00,734507,0
05/01/2011 00:00,734508,0
06/01/2011 00:00,734509,0
07/01/2011 00:00,734510,0
08/01/2011 00:00,734511,0.01
09/01/2011 00:00,734512,0.06
10/01/2011 00:00,734513,0.24
11/01/2011 00:00,734514,0.44
12/01/2011 00:00,734515,0.01
13/01/2011 00:00,734516,0.09
14/01/2011 00:00,734517,0.01
15/01/2011 00:00,734518,0
16/01/2011 00:00,734519,0
17/01/2011 00:00,734520,0
18/01/2011 00:00,734521,0
19/01/2011 00:00,734522,0
20/01/2011 00:00,734523,0
21/01/2011 00:00,734524,0
22/01/2011 00:00,734525,0
23/01/2011 00:00,734526,0
24/01/2011 00:00,734527,0
25/01/2011 00:00,734528,0
26/01/2011 00:00,734529,0.07
27/01/2011 00:00,734530,0
28/01/2011 00:00,734531,0
29/01/2011 00:00,734532,0
30/01/2011 00:00,734533,0
31/01/2011 00:00,734534,0
01/02/2011 00:00,734535,0
02/02/2011 00:00,734536,0
03/02/2011 00:00,734537,0
04/02/2011 00:00,734538,0
05/02/2011 00:00,734539,0
06/02/2011 00:00,734540,0
07/02/2011 00:00,734541,0
08/02/2011 00:00,734542,0
09/02/2011 00:00,734543,0
10/02/2011 00:00,734544,0
11/02/2011 00:00,734545,0
12/02/2011 00:00,734546,0
13/02/2011 00:00,734547,0
14/02/2011 00:00,734548,0
15/02/2011 00:00,734549,0
16/02/2011 00:00,734550,0.36
17/02/2011 00:00,734551,0.28
18/02/2011 00:00,734552,0.05
19/02/2011 00:00,734553,0
20/02/2011 00:00,734554,0
21/02/2011 00:00,734555,0.17
22/02/2011 00:00,734556,0
23/02/2011 00:00,734557,0.01
24/02/2011 00:00,734558,0
25/02/2011 00:00,734559,0.02
26/02/2011 00:00,734560,0
27/02/2011 00:00,734561,0.11
28/02/2011 00:00,734562,0.06
01/03/2011 00:00,734563,0
02/03/2011 00:00,734564,0
03/03/2011 00:00,734565,0.04
04/03/2011 00:00,734566,0.13
05/03/2011 00:00,734567,0
06/03/2011 00:00,734568,0
07/03/2011 00:00,734569,0
08/03/2011 00:00,734570,0
09/03/2011 00:00,734571,0
10/03/2011 00:00,734572,0
