Date,JDfrom0,Iprec,WindSp,WindDir,RelHum,AirT,Swglobal,CloudTrans
02/10/2009 00:00,734047.0000,0,3.91,6.99,37.63,13.01,0,-9999
02/10/2009 01:00,734047.0417,0,3.49,11.28,40.46,13.58,0,-9999
02/10/2009 02:00,734047.0833,0,3.82,95.46,41.68,13.01,0,-9999
02/10/2009 03:00,734047.1250,0,3.67,6.48,42.56,12.36,0,-9999
02/10/2009 04:00,734047.1667,0,3.25,98.09,41.28,12.07,0,-9999
02/10/2009 05:00,734047.2083,0,2.64,25.27,43,11.61,0,-9999
02/10/2009 06:00,734047.2500,0,3.09,27.17,43.8,11.13,0,-9999
02/10/2009 07:00,734047.2917,0,2.37,7.60,43.88,10.44,0,-9999
02/10/2009 08:00,734047.3333,0,3.18,347.50,41.7,10.07,5.96,-9999
02/10/2009 09:00,734047.3750,0,3.73,337.47,39.09,10.65,32.41,-9999
02/10/2009 10:00,734047.4167,0,3.51,349.70,35.84,11.47,197.32,-9999
02/10/2009 11:00,734047.4583,0,3.63,339.75,31.45,12.38,396.02,-9999
02/10/2009 12:00,734047.5000,0,2.75,328.48,30.5,13.12,500.07,-9999
02/10/2009 13:00,734047.5417,0,2.74,311.28,30.2,13.96,564.02,-9999
02/10/2009 14:00,734047.5833,0,3.13,305.43,28.25,15.04,580.02,-9999
02/10/2009 15:00,734047.6250,0,3.65,336.96,28.21,15.76,543.85,-9999
02/10/2009 16:00,734047.6667,0,4.82,347.98,29.06,16.49,467.18,-9999
02/10/2009 17:00,734047.7083,0,5.45,348.78,32.41,15.96,344.57,-9999
02/10/2009 18:00,734047.7500,0,5.74,354.54,35.26,15.26,198.8,-9999
02/10/2009 19:00,734047.7917,0,5.27,269.23,37.38,13.74,48.53,-9999
02/10/2009 20:00,734047.8333,0,5.41,267.61,39.73,12.57,2.39,-9999
02/10/2009 21:00,734047.8750,0,2.79,179.28,39.95,12.07,0,-9999
02/10/2009 22:00,734047.9167,0,2.58,263.29,39.38,11.47,0,-9999
02/10/2009 23:00,734047.9583,0,2.86,264.81,42.29,10.85,0,-9999
03/10/2009 00:00,734048.0000,0,3.30,268.67,46.69,10.83,0,-9999
03/10/2009 01:00,734048.0417,0,3.70,267.63,48.23,10.63,0,-9999
03/10/2009 02:00,734048.0833,0,3.15,178.64,50.2,9.93,0,-9999
03/10/2009 03:00,734048.1250,0,2.93,182.78,51.52,9.56,0,-9999
03/10/2009 04:00,734048.1667,0,2.19,31.59,53.6,9.08,0,-9999
03/10/2009 05:00,734048.2083,0,2.13,42.80,53.51,8.72,0,-9999
03/10/2009 06:00,734048.2500,0,2.29,51.84,50.58,7.9,0,-9999
03/10/2009 07:00,734048.2917,0,2.56,52.16,48.79,6.99,0,-9999
03/10/2009 08:00,734048.3333,0,1.43,76.61,45.7,6.95,5.08,-9999
03/10/2009 09:00,734048.3750,0,0.94,203.36,51.12,7.21,20.96,-9999
03/10/2009 10:00,734048.4167,0,1.56,186.97,54.91,8.85,259.23,-9999
03/10/2009 11:00,734048.4583,0,1.97,202.02,52.5,10.47,402.35,-9999
03/10/2009 12:00,734048.5000,0,2.37,209.70,44.4,10.41,506.57,-9999
03/10/2009 13:00,734048.5417,0,2.54,215.19,53.11,10.99,567.33,-9999
03/10/2009 14:00,734048.5833,0,2.95,216.41,59.94,11.88,582.2,-9999
03/10/2009 15:00,734048.6250,0,2.25,225.42,58.2,12.54,526.95,-9999
03/10/2009 16:00,734048.6667,0,1.90,217.04,62.64,13,454.2,-9999
03/10/2009 17:00,734048.7083,0,1.24,283.21,71.76,13.11,338.62,-9999
03/10/2009 18:00,734048.7500,0,1.50,18.40,74.73,12.56,193.62,-9999
03/10/2009 19:00,734048.7917,0,2.24,43.94,75.77,11.26,52.22,-9999
03/10/2009 20:00,734048.8333,0,2.49,46.93,77.92,9.68,1.68,-9999
03/10/2009 21:00,734048.8750,0,2.21,49.17,78.9,9.03,0,-9999
03/10/2009 22:00,734048.9167,0,2.06,48.63,79.57,8.54,0,-9999
03/10/2009 23:00,734048.9583,0,1.78,46.63,80.68,8.22,0,-9999
04/10/2009 00:00,734049.0000,0,0.89,15.20,78.6,7.88,0,-9999
